size,bedrooms,age,price
1500,3,10,300000
2000,4,5,4500000
1200,2,15,2500000
1800,3,8,3800000
2500,4,3,5500000
1000,2,20,2000000
2200,4,7,4000000
1600,3,12,3200000
1900,3,6,4100000
2100,4,9,4700000
1300,2,18,2700000
2400,4,4,5200000
1700,3,11,3500000
2300,4,6,5000000
1400,2,16,2900000
2600,5,2,5800000
1100,2,22,2200000
2000,3,8,4200000
1800,3,10,3900000
2200,4,5,49000000
1500,3,14,3100000
1900,3,7,4000000
2500,4,3,5400000
1600,3,13,3300000
2100,4,8,4600000
1200,2,19,2400000
2400,4,4,5100000
1700,3,12,3600000
2000,4,6,4400000
1400,2,17,2800000
